ID,タイトル,問題文,問題の答え,得点,難易度,問題パターン,削除フラグ,登録日時,修正日時
id,title,question,answer,score,level,pattern,deleted,created_ts,modified_ts
1,シーザー暗号を解読せよ,以下の暗号を解読し、元の文字列を解読せよ。この暗号はシーザー暗号という暗号化方式を利用して暗号化されている。<br>Vwdb Kxqjub,Stay Hungry,10,1,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
2,社長は誰,ソフトバンクグループ株式会社の代表取締役社長は誰でしょう？,1,10,1,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
3,パスワードをクラックせよ,クラッキング用ページのIDとパスワードをクラックせよ。クラックに成功したらパスワードの方を解答に入力してくれ。正解のIDとパスワードはクラッキング用ページのどこかにかかれているらしい。よく調べてくれ。,wATFyXV66LYHsCsoMDCeQLMfmGzU3A4C,10,1,30,0,2017-12-27 12:24:12,2017-12-27 12:24:12
4,開発者は誰,プログラミング言語、Perl の開発者は誰でしょう？,2,10,1,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
5,パスワードをクラックせよ,とある筋からユーザーIDとパスワードのリストを手に入れた。IDとパスワードはタブで区切られており、パスワードは暗号化されている。おそらくこのリストの中の誰かのアカウントがクラッキング用ページのIDとパスワードに一致するはずだ。暗号化されたパスワードを解読し、IDとパスワードをクラックせよ。,qUrbkTQy,10,4,31,0,2017-12-27 12:24:12,2017-12-27 12:24:12
6,創業者は誰,Facebook の創業者は誰でしょう？,3,10,1,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
7,サイトを改ざんせよ,改ざん用ページのサイトを改ざんせよ。テキストボックスに文字列やプログラムを入力してサイトを改ざんするんだ。解答には改ざんに使用したプログラムや文字列を入力せよ。,htmltag,10,7,30,0,2017-12-27 12:24:12,2017-12-27 12:24:12
8,店舗を特定せよ,下の写真が撮られたモスバーガーの店舗を特定せよ。解答には店名を入力せよ。(例えば天神北店)。写真には位置情報が埋め込まれているのでまずはそれを調べよう。,神楽坂下店,10,3,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
9,パスワードをクラックせよ,以下の実行ファイルを起動してパスワードをクラックせよ。実行ファイルの中身を解析すればパスワードがわかるかもしれない。,hacker,10,10,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
10,答えは何,この問題の答えはなんでしょう？,おつかれさまでした,10,100,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
11,IPアドレスを特定せよ,IP アドレスを特定せよ！ このURL http://www.hatena.ne.jp/ の IP アドレスを特定して入力してくれ！,59.106.194.19,10,10,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
12,WEBサーバーを特定せよ,WEB サーバーを特定せよ！ このhackersLab.博多のwebアプリを配信している webサーバーを特定して入力してくれ！,nginx,10,10,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
13,時間の計算,時間の計算とは！ コンピューターは時間の計算を ****秒を基準に考えている、 **** にはなにが入るか答えよ,エポック,10,10,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
14,うるう年を特定せよ,うるう年を特定せよ！ 紀元前1900年はうるう年か？うるう年なら true うるう年でないなら false を入力せよ！,false,10,10,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
15,プログラミングコードを解明せよ,プログラミングコードを解明せよ！ この Perl スクリプトを正しく実行するには **** になにを記述すればよいか！入力しくれ！,grep,10,10,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
16,ファイルのフォーマット,以下のバイナリファイルのフォーマットを答えよ,2,10,10,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
17,ログイン処理,以下のプログラムはとあるサイトにおけるログイン処理の一部である。$uidにはユーザー名、$passwordにはパスワードが入力されているとする。本来であればユーザー名とパスワードが一致しないとログインは出来ないが$uidにある入力を行うとパスワードを入力しなくてもログインができてしまう。その入力を答えよ。入力文字数は全部で11文字とする。なおこのサイトではkusakabeというユーザー名が存在していることは確認されている。,kusakabe\'--,10,10,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
18,プログラムの脆弱性,以下のPerlプログラムには脆弱性がある。$cmdにはユーザーの入力値が入っているとする。特定の文字を入れるとサーバーのファイル一覧が表示されてしまう。その入力を答えよ。入力文字数は2文字とする。,ls,10,10,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
19,ビット列の個数,以下のビット列の1の個数を数えよ,254,10,10,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
20,3本の棒,3本の棒A、B、Cがある。最初、棒Aには5枚の円板が大きい順に重ねてさしてある。円板を棒から棒に1枚ずつ動かして全円板を棒Bに集めるとき、何回の移動で完了するか。それぞれの棒から棒へ円板を1枚移動を1回と数える。ただし小さい円板の上に大きい円板をのせてはならない。,31,10,10,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
21,Cookieの名前,このサイトのCookieの名前(name)を表示せよ,hackers_session,10,10,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
22,突然画面にIPアドレス,とあるサイトを訪問すると突然画面にIPアドレスが表示され、架空請求を思わせる文言が表示された。以下はこのプログラムの一部である。****の部分を答えよ。,REMOTE_ADDR,10,10,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
23,ハッカーがよく使用するエディタ,ハッカーがよく使用するエディタでノーマルモードと挿入モードが別れておりESCを使って2つを切り替えるエディタを何というか。全て小文字で答えよ。,vim,10,2,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
24,Googleが開発してる,Googleが開発してるプログラミング言語を何というか。全て小文字で答えよ。,go,10,2,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
25,表示可能文字列の個数,バイナリファイルに含まれている表示可能文字列の個数を数えよ,576,10,10,40,0,2017-12-27 12:24:12,2017-12-27 12:24:12
26,世界最初のコンピュータは,「世界最初のコンピュータは？」<br>次の説明の（A）に入る言葉をアルファベット5文字で入力してください。<br>世界最初の汎用電子式コンピュータは通称（A）と呼ばれる,ENIAC,10,1,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
27,キャプテンクランチ,「キャプテンクランチ」<br>キャプテンクランチと呼ばれる伝説的ハッカーの「ジョン・T・ドレイパー」さん。<br>この方は、1972年に長距離電話でタダでかけるハッキングをした方ですが、何を利用してハックしたか次の中から選んでください。,4,10,1,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
28,キャプテンクランチ２,「キャプテンクランチ２」<br>キャプテンクランチはシリアルのおまけで長距離電話をタダでかけるハッキングをした人ですが、何ヘルツの音を出すことでハックが成功したのか次の中から選んでください。,4,10,1,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
29,主人公のあだ名,「主人公のあだ名」<br>メタリカ、ビーチ・ボーイ、ベイビィ・フェイス、ホワイト・アルバムという名前のキャラクターが出てくる物語の主人公は通称なんと呼ばれている？<br>アルファベット４文字で入力してください。,JOJO,10,1,10,0,2017-12-27 12:24:12,2017-12-27 12:24:12
30,共通点,「共通点」<br>次の名前はあるキャラクター名前です。３つの名前には共通点があります。<br>ボヘミアン・ラブソディー、スカイ・ハイ、アンダー・ワールド、同じ共通点の名前を次の中から選んでください。,4,10,2,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
31,正しい行動はどれ,「正しい行動はどれ？」<br> あなたは友人から電話で次のような相談を受けました。<br> <br> 「パソコンを使っていたら急に変なウィンドウが出てきた。<br> そのウィンドウには、<br> 『このウィンドウを消したければ、<br> 　http://****.com/****のアクセスして解除申請をしてください』<br> と書かれているがどうすればいい？」<br> <br> と聞かれました。<br> あなたは電話口で友人にアドバイスをしようとしていますが、<br> 次の中で、友人に行ってもらう行動として、最優先のものを選んでください。,2,10,2,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
32,Webサイトが見れない原因はなんだろう,「Webサイトが見れない原因はなんだろう？」<br> <br> あなたは新しいパソコンを購入しました。<br> <br> さっそくブラウザでYahooのトップ画面(http://www.yahoo.co.jp/)を見ようとしましたが、<br> サイトに繋がらず表示できませんでした。<br> 試しに自分のスマホでYahooのトップ画面を見ると表示できました。<br> <br> 新しいパソコンがネットに繋がってないと思ったあなたは<br> ルーターにpingを飛ばしてみたところ応答が返ってきます。<br> <br> 試しに、URLにhttp://183.79.135.206を入力してみたところ表示できました。<br> <br> この段階で考えられる原因として次の中から一番当てはまるものを選んでください。,4,10,3,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
33,IPアドレスから国を特定する,「IPアドレスから国を特定する」<br> <br> 次のIPアドレスの国を特定してください。<br> <br> IPアドレスその１：69.63.188.0<br> IPアドレスその２：121.201.98.0,4,10,3,20,0,2017-12-27 12:24:12,2017-12-27 12:24:12
